document_id,routing_label
01_26_16_All_Communities_prosp_zones.pdf,Reject
042825_CouncilMeetingI_Slides_final_-_Copy.pdf,Excluded
04_2019_Change_2_Revised_PY19_DW_Policy_allocation_051520,Reject
052225_CouncilMeetingI_Slides.pdf,Excluded
061225_CouncilMeetingI_Slides_v1.pdf,Excluded
1._November_9_agenda,Auto-Approve
1_Mid_Carolina_Local_Area_Designation_Request_Letter_from_WDB…,Reject
1_NC_Towers_050522_NC_Ports_General_Presentation,Excluded
1st_QPR_2018,Reject
1st_QPR_2018_2,Reject
1st_QPR_2018_Pending_HUD_Approval,Reject
1st_QPR_January_1_2018_thru_March_31_2018_Pending_HUD_Approval,Reject
2011sotwfullfinalreport52311909am,Reject
2012_to_2007_naics,Reject
2013_JDIG_Annual_Report,Reject
2014-2024_NC_Employment_Projections_Summary,Reject
2014_Development_Tier_Rankings,Reject
2014_Employer_Needs_Survey,Reject
2014_Employer_Needs_Survey_2,Reject
2014_JDIG_Annual_Report,Reject
2014_Skills_Gap_Task_Force_Recommendations,Reject
2014employerneedssurvey,Reject
2015_Development_Tier_Rankings,Reject
2015_JDIG_Annual_Report,Reject
2016+Employer+Needs+Survey+3alh,Reject
20162020_ConPlan,Reject
2016_Appalachian_Regional_Commission_Map,Excluded
2016_Development_Tier_Rankings,Reject
2016_JDIG_Annual_Report,Reject
2016_employer_needs_survey,Reject
2017_2020_Develoment_Plan_Final,Reject
2017_Annual_Performance_Report,Reject
2017_Development_Tier_Rankings,Reject
2017_JDIG_Annual_Report_FINAL,Reject
2017_JDIG_Annual_Report_FINAL_2,Reject
2017_Map,Excluded
2018-Employer-Needs-Survey,Reject
2018_12_Cape_Fear_WDB_Overview,Reject
2018_12_Capital_Area_WDB_Overview,Reject
2018_12_Centralina_WDB_Overview,Reject
2018_12_Charlotte_Works_WDB_Overview,Reject
2018_12_Cumberland_WDB_Overview,Reject
2018_12_DavidsonWorks_WDB_Overview,Reject
2018_12_Durham_WDB_Overview,Reject
2018_12_Eastern_WDB_Overview,Reject
2018_12_Gaston_WDB_Overview,Reject
2018_12_Greensboro_High_Point_Guilford_WDB_Overview,Reject
2018_12_High_Country_WDB_Overview,Reject
2018_12_Kerr_Tar_WDB_Overview,Reject
2018_12_Lumber_River_WDB_Overview,Reject
2018_12_Mountain_Area_WDB_Overview,Reject
2018_12_Northeastern_WDB_Overview,Reject
2018_12_Piedmont_Triad_Regional_WDB_Overview,Reject
2018_12_Region_C_WDB_Overview,Reject
2018_12_Region_Q_WDB_Overview,Reject
2018_12_Regional_Partnership_WDB_Overview,Reject
2018_12_Southwestern_WDB_Overview,Reject
2018_12_Triangle_South_WDB_Overview,Reject
2018_12_Turning_Point_WDB_Overview,Reject
2018_12_Western_Piedmont_WDB_Overview,Reject
2018_2028_NC_Employment_Projections_Summary,Reject
2018_Development_Tier_Rankings,Reject
2018_Development_Tier_Rankings_2,Reject
2018_ENS_to_NCWorks_Commission_Presentation_-_Handout,Excluded
2018_JDIG_Annual_Report,Reject
2018_Local_Workforce_Development_Board_Measures,Human Review
2018_Local_Workforce_Development_Board_Measures_2,Human Review
2018_Report_Measuring_the_Performance_of_North_Carolina’s_Workforce_Development_System,Reject
2018_Section_3_Summary_Report_HUD_60002_Form_Instructions,Excluded
2018_Tiers_memo,Reject
2018_Tiers_memo_2,Reject
2018_employer_needs_survey,Reject
2018_employer_needs_survey_2,Reject
2019_01_Cape_Fear_WDB_Overview,Reject
2019_01_Capital_Area_WDB_Overview,Reject
2019_01_Centralina_WDB_Overview,Reject
2019_01_Charlotte_Works_WDB_Overview,Reject
2019_01_Cumberland_WDB_Overview,Reject
2019_01_DavidsonWorks_WDB_Overview,Reject
2019_01_Durham_WDB_Overview,Reject
2019_01_Eastern_WDB_Overview,Reject
2019_01_Gaston_WDB_Overview,Reject
2019_01_Greensboro_High_Point_Guilford_WDB_Overview,Reject
2019_01_High_Country_WDB_Overview,Reject
2019_01_Kerr_Tar_WDB_Overview,Reject
2019_01_Lumber_River_WDB_Overview,Reject
2019_01_Mountain_Area_WDB_Overview,Reject
2023_Awardees_One_North_Carolina_Small_Business_Program,Reject
2_Cumberland_County_WDB_Minutes_2021_12_20_Meeting491_Action…,Reject
Compliance_Semi-Annual_Labor_Standards_Report_Form_(HUD_Form_4710)_for_CDBG_Grantees,Excluded
Supplemental_Release_June_2024_Statewide_Employment_Numbers,Reject
Supplemental_Release_March_2025_County_and_Area_Employment_Numbers,Reject
Supplemental_Release_March_2025_Statewide_Employment_Numbers,Reject
