Media Name,URL
Administrative April 2008 AD I-5,https://www.dac.nc.gov/media/692/open
Administrative – Organization  February 2012 AD I-1,https://www.dac.nc.gov/media/688/open
Administrative-Organization July 2010 AD I-3,https://www.dac.nc.gov/media/696/open
AMBER Alert System Plan 2013,https://www.dac.nc.gov/media/441/open
Craven web,https://www.dac.nc.gov/media/3870/open
HurricaneGuide 2019 FINALsinglePages,https://www.dac.nc.gov/media/4452/open
SHP Troop A Coastal Evacuation Plan - Bertie County Map,https://www.dac.nc.gov/media/395/open
SHP Troop A Coastal Evacuation Plan - Dare County Map,https://www.dac.nc.gov/media/393/open
00 CRES2011 final,https://www.dac.nc.gov/media/82/open
001 test dps delete doc,https://www.dac.nc.gov/media/2346/open
02 08 2017 JJ DPS Area Office Contact Information,https://www.dac.nc.gov/media/2417/open
06 03 2021 TX II 26 340 B Drug Pricing Program,https://www.dac.nc.gov/media/6014/open
1   Commanders Office 2018 02 01,https://www.dac.nc.gov/media/3089/open
1  Greene JJAC JJRA Stakeholder training,https://www.dac.nc.gov/media/3684/open
1 26 22 HR Prisons HiringEventFlyer Randolph,https://www.dac.nc.gov/media/6647/open
1-23-2025 Joint Reentry Council Agenda,https://www.dac.nc.gov/media/13103/open
1-7-2026 Joint Reentry Council Agenda,https://www.dac.nc.gov/media/13809/open
1-7-2026 JRC OSHR Presentation,https://www.dac.nc.gov/media/13812/open
1/4/2022 JJAC Presentation,https://www.dac.nc.gov/media/6662/open
10-2025 NC Local Reentry Councils Map,https://www.dac.nc.gov/media/13672/open
10-23-19 Board Recommendations Presentation,https://www.dac.nc.gov/media/4081/open
10-23-2019 PRAB Agenda,https://www.dac.nc.gov/media/4078/open
10-31-2024 Reentry 2030 First Annual Report: Educational Pathways in North Carolina Correctional Facilities Participation and Completion Outcomes,https://www.dac.nc.gov/media/13002/open
101A Civil Rights Compliance Checklist,https://www.dac.nc.gov/media/3972/open
101B Civil Rights Compliance Self Certification Form for GCC…,https://www.dac.nc.gov/media/3973/open
101C Civil Rights Responsibilities and Requirements for GCC…,https://www.dac.nc.gov/media/3974/open
102A Discrimination Complaint Form,https://www.dac.nc.gov/media/3975/open
102B Consent Form to Accompany Discrimination Complaint Form,https://www.dac.nc.gov/media/3976/open
103 De Minimis Certification Form,https://www.dac.nc.gov/media/3977/open
1033 Excess Property Program MEMORANDUM OF AGREEMENT,https://www.dac.nc.gov/media/637/open
108 Assurance Concerning Polygraph Testing Prohibition,https://www.dac.nc.gov/media/3982/open
109 Advance Determinination of Suitability,https://www.dac.nc.gov/media/4150/open
109 Advance Determinination of Suitability Rev  1 14 21,https://www.dac.nc.gov/media/5143/open
11-1-2020 Medical Cost Containment Report,https://www.dac.nc.gov/media/11732/open
11-12-2025 Joint Reentry Council Agenda,https://www.dac.nc.gov/media/13737/open
11-14-2018 Prison Reform Advisory Board Agenda,https://www.dac.nc.gov/media/3480/open
11-26-2026 SRCC Agenda,https://www.dac.nc.gov/media/13763/open
11/14/18 PRAB Minutes,https://www.dac.nc.gov/media/3662/open
11/21/2024 Joint Reentry Council Meeting Agenda,https://www.dac.nc.gov/media/12975/open
110 Employment Eligibility Verification Form,https://www.dac.nc.gov/media/4151/open
110122 DPS-Prisons_Quarterly Jail Backlog_November2022.pdf,https://www.dac.nc.gov/media/11756/open
110122 DPS_Prisons Technology RFP_November2022.pdf,https://www.dac.nc.gov/media/11757/open
111 Staffing Allocations Rev  08 31 20,https://www.dac.nc.gov/media/4798/open
12 FAST Resource request form ICS 213,https://www.dac.nc.gov/media/4174/open
1292015minutes,https://www.dac.nc.gov/media/1881/open
13 Activity Log ICS 214,https://www.dac.nc.gov/media/4175/open
14 B NCAC 17 .1302,https://www.dac.nc.gov/media/2753/open
147th Basic Highway Patrol School members,https://www.dac.nc.gov/media/3729/open
149thFinal,https://www.dac.nc.gov/media/4083/open
14B NCAC 03 .0401-.0410 Search and Rescue Program,https://www.dac.nc.gov/media/11328/open
14B NCAC 05B Section 0401,https://www.dac.nc.gov/media/4357/open
14B NCAC 10.0501 (Proposed),https://www.dac.nc.gov/media/2571/open
14B NCAC 10.0801,https://www.dac.nc.gov/media/2572/open
14B NCAC 16 .0102,https://www.dac.nc.gov/media/2635/open
14B NCAC 16 .0102,https://www.dac.nc.gov/media/2636/open
14B NCAC 16 .0201,https://www.dac.nc.gov/media/2637/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
PPO Candidate Connection Newsletter,https://www.dac.nc.gov/media/13604/open
Community Supervision Map,https://www.dac.nc.gov/media/12129/open
Candidate Connection - Fall 2025,https://www.dac.nc.gov/media/13839/open
2025 Second Chance Month Proclamation,https://www.dac.nc.gov/media/13242/open
DPS Purchasing Manual,https://www.dac.nc.gov/media/3499/open
Policymakers Role in Expanding Prison Education Access,https://www.dac.nc.gov/media/13491/open
Workday Quick Reference Guide,https://www.dac.nc.gov/media/13670/open
Policy on HUB Partnership and Inclusion - Construction,https://www.dac.nc.gov/media/11879/open
Letter of Appointment - First Lady Anna Stein to NC JRC,https://www.dac.nc.gov/media/13250/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
History of Samarcand  August 2020,https://www.dac.nc.gov/media/4849/open
Policy on HUB Partnership and Inclusion - Design,https://www.dac.nc.gov/media/11878/open
PREA Facility Audit Report: Final for the Carteret Correctional Center,https://www.dac.nc.gov/media/12189/open
Victim Support Services Victim Notification Request Form,https://www.dac.nc.gov/media/12126/open
NCDAC Public Participation Plan_7-31-2025,https://www.dac.nc.gov/media/13621/open
NCDAC_VP_ Deposit_Slip wWU-INTERSTATE Deposits_Eng-FORMv3.pdf,https://www.dac.nc.gov/media/12733/open
NCDAC Doctoral Psychology Internship Admissions Support and Initial Placement Data - 2025,https://www.dac.nc.gov/media/13487/open
2023 Sexual Abuse Annual Report,https://www.dac.nc.gov/media/13000/open
PREA Facility Audit Report: Final for the Western Correctional Center for Women,https://www.dac.nc.gov/media/13618/open
PREA Sexual Abuse Annual Report 2024,https://www.dac.nc.gov/media/13887/open
2022 Sexual Abuse Annual Report,https://www.dac.nc.gov/media/12039/open
DCS Field Roster 1/21/25,https://www.dac.nc.gov/media/13083/open
PREA Facility Audit Report: Final for the Carteret Correctional Center,https://www.dac.nc.gov/media/12024/open
2019 NCCIW PREA Final Report Final,https://www.dac.nc.gov/media/4764/open
NC Local Reentry Councils Map,https://www.dac.nc.gov/media/13011/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
2019 NCCIW PREA Final Report Final,https://www.dac.nc.gov/media/4764/open
PREA Facility Audit Report: Final for the Alexander Correctional Institution,https://www.dac.nc.gov/media/13142/open
DCS Division Map 1/21/25,https://www.dac.nc.gov/media/13084/open
Intern Handbook,https://www.dac.nc.gov/media/5772/open
PREA Facility Audit Report: Final for the Tabor Correctional Institution,https://www.dac.nc.gov/media/13497/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
NCDAC Behavioral Health Services Doctoral Psychology Internship Brochure - 2026-2027,https://www.dac.nc.gov/media/13479/open
14B NCAC 16 .0202,https://www.dac.nc.gov/media/2749/open
14B NCAC 16 .0203,https://www.dac.nc.gov/media/2638/open
14B NCAC 16 .0701,https://www.dac.nc.gov/media/2639/open
14B NCAC 16 .0702,https://www.dac.nc.gov/media/2750/open
14B NCAC 16 .0706,https://www.dac.nc.gov/media/2640/open
14B NCAC 16 .0801,https://www.dac.nc.gov/media/2641/open
14B NCAC 16 .0802,https://www.dac.nc.gov/media/2751/open
