document_id,routing_label
(Buffer_Only)_RunningDog_100210_MY1_2023,Reject
(UPDATED)_25095_Colwick_Rd_SNI_20250925.pdf,Auto-Approve
002_PFAS_Mass_Load_Protocol_8_31_2020,Reject
009_outfall_COALASHSUMMARY4March_2014,Auto-Approve
00_2019_Phase_II_MS4_Training_combined,Excluded
00_BriefingBookMay2020Complete,Reject
01_10_2nd_pub_not_20201215,Reject
01_10_Corrected_cover_letter_20201221,Reject
01_10_adilet_2020_3,Reject
01_10_adilet_2020_4,Reject
01_10_adilet_2020_5,Reject
01_12_12_Public_Memo,Reject
01_2012_CRFL_Data_Delivery_Specifications,Reject
01_2014_CRFL_Sales_Report,Reject
01_2018_Agenda_FB_Hydrologics_Mtg_2,Auto-Approve
01_2018_Agenda_Hydrologics_Mtg_2_002,Auto-Approve
01_2018_SAR_SouthernFlounder_2018,Reject
01_2019_Consumer_Shellfish_Advisory_ENGLISH,Auto-Approve
01_2019_shellfish_sale_tag_template,Reject
01_2020MayMFC_BusinessMeetingAgenda,Human Review
01_2020_SouthernFlounderFMP_Am2_20190923_FINAL,Reject
01_Agenda_Timeline,Excluded
01_August_MFC_Briefing_Book_Complete,Reject
01_CFNM_April_2011_Version_Contract_A,Reject
01_CFNM_Modeling_the_Cape_Fear_Neuse_River_Basin_Operations…,Reject
01_Eno_State_Park_Eco_Flow_Study,Excluded
01_Fact_Sheet_Kaballco.pdf,Human Review
01_Fact_Sheet_Kaballco.pdf_2,Auto-Approve
01_Fact_Sheet_SKA.pdf,Auto-Approve
01_Fact_Sheet_SKA.pdf_2,Auto-Approve
01_Flow_Scenarios,Excluded
01_HB_1743_SAB_Purpose_Brief_Tom_Reeder,Excluded
01_IFIM_Aquatic_Habitat_Modeling_Ty_Ziegler,Excluded
01_JLR4_Agenda_Schedule,Excluded
01_January_2012_CPAs,Auto-Approve
01_January_2013_CPAs,Human Review
01_January_2014_CPAs,Auto-Approve
01_NCDAQ_Final_RH_SIP_Transmittal_Letter_040422.pdf,Reject
01_NRBM_Agenda_032509,Human Review
01_NRHM_AgIrrig_Data_MoffattNichol_Draft_Report_050709,Reject
01_NRHM_Agenda_111208,Human Review
01_NRHM_Meeting_Agenda_052708,Human Review
01_NRHM_Project_Contract,Excluded
01_NS_FB_New_Watauga_Kickoff_meeting_04_10_2018,Excluded
01_NS_FB_New_Watauga_Kickoff_meeting_04_10_2018_2,Excluded
01_NS_YPDL_Kickoff_meeting_03042020,Excluded
01_bardeninlet,Excluded
0_HertfordCountyCertificationDate_022411,Auto-Approve
0_JLA4_Email_Announcement_20160316,Reject
0_Lesson7_4thgrade_RocksMinerals_C_Alligood_Oct08,Reject
0_ManteoAmend1Certif_021209,Auto-Approve
2019-white-lake-sav-report,Reject
2020-waccamaw-sav-report,Reject
2020-white-lake-sav-report,Reject
2021-white-lake-sav-report,Reject
2023-lake-gaston-sav-report,Reject
2023-roanoke-rapids-sav-report,Reject
Allen_Meeting_Officer_Report_20160422,Reject
Asheville_Mtg_Officer_Report_FINAL_051316,Reject
BLACK_SEA_BASS_–_COMMERCIAL_FISHING_OPERATIONS_–_ATLANTIC_OCEAN_–_NORTH_OF_CAPE_HATTERAS,Reject
Belews_Mtg_Officer_Report_FINAL_051316,Reject
Buck_Meeting_Officer_Report_Final_5_13_16_00000002,Reject
CCR_Dam_Rules_09042018,Excluded
Cape_Fear_Mtg_Officer_Report_FINAL_051316,Reject
"Cliffdale_Landfill_USFWS_–_April_18,_2024",Reject
DC790003_February_2022_Risk_Management_Plan,Reject
DEQ_Risk_Calculator_User_Guide_(February_2024),Reject
DSCA_Compliance_Voluntary_Self-Inspection_Checklist_for_Petroleum_and_Alternative-solvent_Dry_Cleaners_Form,Excluded
DSCA_DC_920069_January_2024_Risk_Management_Plan,Reject
DSCA_Fund_Program_Statistics_March_2021,Auto-Approve
DSCA_November_2023_Case_Studies,Excluded
DSCA_November_2023_Meeting_Minutes,Human Review
Dan_River_Meeting_Officer_Report_Final_5_13_16,Reject
East_Carolina_Landfill_Draft_permit,Reject
"Energy_Balance_Malvika_Ogale,_Novo_Nordisk",Excluded
IHSB_Annual_Land_Use_Restriction_Report_Form,Excluded
International_Tie_Disposal_1hrNO2_Model_Review_Report,Human Review
Lake-Tillery-Aquatic-Plant-Reporting,Excluded
Lake-Tillery-Hydrilla-Management,Excluded
Lee_Meeting_Officer_Final_5_13_16,Reject
Marshall_Meeting_Officer_Final_5_13_16,Reject
MayoMeetingOfficerReport_20160428,Reject
"Networking_&_Outreach_Efforts_Kate_MacLeod,_ESI_Outreach_Coordinator",Excluded
PFAS_Data_Synthesis_Support_STEP_Initiative_2022,Reject
POTS_OPEN_–_ATLANTIC_OCEAN_AND_INTERNAL_COASTAL_AND_JOINT_FISHING_WATERS_WEST_AND_SOUTH_OF_HIGHWAY_58_BRIDGE,Reject
PRLF_Durham_Parks_June_2024_Update,Auto-Approve
Primary_Nursery_Areas,Reject
Questions_(and_Answers)_about_the_LASII_Stormwater_Funding_Program,Human Review
Riverbend_Meeting_Officer_Report_Final_5_13_16,Reject
Rogers_Mtg_Officer_Report_FINAL_051316,Reject
RoxboroMeetingOfficerReport_20160428,Reject
SSAB_Meeting_April_2025,Reject
Shallow_Draft_Navigation_Channel_Dredging_and_Aquatic_Weed_Fund,Reject
Southside_Park_Landfill_Surface_Water_Assessment,Reject
Southside_Park_Stream_Sediment_Assessment,Reject
SuttonMeetingOfficerReport_20160428,Reject
