Media Name,URL
\t2023-2024 DMS Annual Report,https://www.deq.nc.gov/media/46642/open
 \tVolkswagen Settlement Community & Destination ZEV Charging RFP Webinar Slides,https://www.deq.nc.gov/media/46582/open
  PFAS Data Synthesis Support STEP Initiative 2022,https://www.deq.nc.gov/media/28355/open
 Allen Meeting Officer Report 20160422,https://www.deq.nc.gov/media/21370/open
 Asheville Mtg Officer Report FINAL 051316,https://www.deq.nc.gov/media/7351/open
 Belews Mtg Officer Report FINAL 051316,https://www.deq.nc.gov/media/7352/open
 BLACK SEA BASS – COMMERCIAL FISHING OPERATIONS – ATLANTIC OCEAN – NORTH  OF CAPE HATTERAS ,https://www.deq.nc.gov/media/42101/open
 Buck Meeting Officer Report Final 5 13 16  00000002 ,https://www.deq.nc.gov/media/7353/open
 Cape Fear Mtg Officer Report FINAL 051316,https://www.deq.nc.gov/media/7354/open
 CCR Dam Rules 09042018,https://www.deq.nc.gov/media/11643/open
" Cliffdale Landfill USFWS – April 18, 2024",https://www.deq.nc.gov/media/50584/open
 Dan River Meeting Officer Report Final 5 13 16,https://www.deq.nc.gov/media/7355/open
 DC790003 February 2022 Risk Management Plan,https://www.deq.nc.gov/media/27533/open
 DEQ Risk Calculator User Guide (February 2024),https://www.deq.nc.gov/media/43669/open
 DSCA Compliance Voluntary Self-Inspection Checklist for Petroleum and Alternative-solvent Dry Cleaners Form  ,https://www.deq.nc.gov/media/29332/open
 DSCA DC 920069 January 2024 Risk Management Plan,https://www.deq.nc.gov/media/43948/open
 DSCA Fund Program Statistics March 2021,https://www.deq.nc.gov/media/29230/open
 DSCA November 2023 Case Studies,https://www.deq.nc.gov/media/42374/open
 DSCA November 2023 Meeting Minutes,https://www.deq.nc.gov/media/42373/open
 East Carolina Landfill Draft permit,https://www.deq.nc.gov/media/45193/open
" Energy Balance Malvika Ogale, Novo Nordisk",https://www.deq.nc.gov/media/49868/open
 IHSB Annual Land Use Restriction Report Form,https://www.deq.nc.gov/media/31499/open
 International Tie Disposal 1hrNO2 Model Review Report,https://www.deq.nc.gov/media/21919/open
 Lee Meeting Officer Final 5 13 16,https://www.deq.nc.gov/media/7356/open
 Marshall Meeting Officer Final 5 13 16,https://www.deq.nc.gov/media/7357/open
 MayoMeetingOfficerReport 20160428,https://www.deq.nc.gov/media/7358/open
" Networking & Outreach Efforts Kate MacLeod, ESI Outreach Coordinator",https://www.deq.nc.gov/media/49880/open
 POTS OPEN – ATLANTIC OCEAN AND INTERNAL COASTAL AND JOINT FISHING WATERS WEST AND SOUTH OF HIGHWAY 58 BRIDGE,https://www.deq.nc.gov/media/44454/open
 Primary Nursery Areas,https://www.deq.nc.gov/media/27491/open
 PRLF Durham Parks June 2024 Update,https://www.deq.nc.gov/media/45118/open
 Questions (and Answers) about the LASII Stormwater Funding Program,https://www.deq.nc.gov/media/31105/open
 Riverbend Meeting Officer Report Final 5 13 16,https://www.deq.nc.gov/media/7359/open
 Rogers Mtg Officer Report FINAL 051316,https://www.deq.nc.gov/media/7360/open
 RoxboroMeetingOfficerReport 20160428,https://www.deq.nc.gov/media/7361/open
 Shallow Draft Navigation Channel Dredging and Aquatic Weed Fund ,https://www.deq.nc.gov/media/31667/open
 Southside Park Landfill Surface Water Assessment,https://www.deq.nc.gov/media/50067/open
 Southside Park Stream Sediment Assessment,https://www.deq.nc.gov/media/50068/open
 SuttonMeetingOfficerReport 20160428,https://www.deq.nc.gov/media/7362/open
 WeatherspoonMeetingOfficerReport 20160428,https://www.deq.nc.gov/media/7363/open
 Web Meeting Etiquette PDF,https://www.deq.nc.gov/media/37217/open
(Buffer Only) RunningDog_100210_MY1_2023,https://www.deq.nc.gov/media/43644/open
(UPDATED) 25095 Colwick Rd SNI 20250925.pdf,https://www.deq.nc.gov/media/49754/open
*SSAB Meeting April 2025,https://www.deq.nc.gov/media/47957/open
/2019-white-lake-sav-report,https://www.deq.nc.gov/media/45256/open
/2020-waccamaw-sav-report,https://www.deq.nc.gov/media/45261/open
/2020-white-lake-sav-report,https://www.deq.nc.gov/media/45257/open
/2021-white-lake-sav-report,https://www.deq.nc.gov/media/45258/open
/2023-lake-gaston-sav-report,https://www.deq.nc.gov/media/45260/open
/2023-roanoke-rapids-sav-report,https://www.deq.nc.gov/media/45255/open
/Lake-Tillery-Aquatic-Plant-Reporting,https://www.deq.nc.gov/media/45756/open
/Lake-Tillery-Hydrilla-Management,https://www.deq.nc.gov/media/45755/open
0 HertfordCountyCertificationDate 022411,https://www.deq.nc.gov/media/7523/open
0 JLA4 Email Announcement 20160316,https://www.deq.nc.gov/media/6296/open
0 Lesson7 4thgrade RocksMinerals C Alligood  Oct08,https://www.deq.nc.gov/media/12277/open
0 ManteoAmend1Certif 021209,https://www.deq.nc.gov/media/7520/open
00 2019 Phase II MS4 Training   combined,https://www.deq.nc.gov/media/12650/open
00 BriefingBookMay2020Complete,https://www.deq.nc.gov/media/16482/open
002 PFAS Mass Load Protocol 8 31 2020,https://www.deq.nc.gov/media/16967/open
009 outfall COALASHSUMMARY4March 2014,https://www.deq.nc.gov/media/1788/open
01 10 2nd pub not 20201215,https://www.deq.nc.gov/media/17670/open
01 10 adilet 2020 3,https://www.deq.nc.gov/media/15041/open
01 10 adilet 2020 4,https://www.deq.nc.gov/media/15444/open
01 10 adilet 2020 5,https://www.deq.nc.gov/media/16666/open
01 10 Corrected cover letter 20201221,https://www.deq.nc.gov/media/17671/open
01 12 12 Public Memo,https://www.deq.nc.gov/media/4818/open
01 2012 CRFL Data Delivery Specifications,https://www.deq.nc.gov/media/19746/open
01 2014 CRFL Sales Report,https://www.deq.nc.gov/media/19666/open
01 2018 Agenda FB Hydrologics Mtg 2,https://www.deq.nc.gov/media/11701/open
01 2018 Agenda Hydrologics Mtg 2  002 ,https://www.deq.nc.gov/media/11705/open
01 2018 SAR SouthernFlounder 2018,https://www.deq.nc.gov/media/20358/open
01 2019 Consumer Shellfish Advisory ENGLISH,https://www.deq.nc.gov/media/19430/open
01 2019 shellfish sale tag template,https://www.deq.nc.gov/media/19424/open
01 2020 SouthernFlounderFMP Am2 20190923 FINAL,https://www.deq.nc.gov/media/20359/open
01 2020MayMFC BusinessMeetingAgenda,https://www.deq.nc.gov/media/16483/open
01 Agenda Timeline,https://www.deq.nc.gov/media/20637/open
01 August MFC Briefing Book Complete,https://www.deq.nc.gov/media/16653/open
01 bardeninlet,https://www.deq.nc.gov/media/20034/open
01 CFNM April 2011 Version Contract A,https://www.deq.nc.gov/media/5935/open
01 CFNM Modeling the Cape Fear   Neuse River Basin Operations…,https://www.deq.nc.gov/media/7446/open
01 Eno State Park Eco Flow Study,https://www.deq.nc.gov/media/6326/open
01 Fact Sheet SKA.pdf,https://www.deq.nc.gov/media/40387/open
01 Fact Sheet SKA.pdf,https://www.deq.nc.gov/media/40390/open
01 Fact Sheet_Kaballco.pdf,https://www.deq.nc.gov/media/40094/open
01 Fact Sheet_Kaballco.pdf,https://www.deq.nc.gov/media/40097/open
01 Flow Scenarios,https://www.deq.nc.gov/media/6329/open
01 HB 1743 SAB Purpose Brief Tom Reeder,https://www.deq.nc.gov/media/6319/open
01 IFIM Aquatic Habitat Modeling Ty Ziegler,https://www.deq.nc.gov/media/6323/open
01 January 2012 CPAs,https://www.deq.nc.gov/media/5566/open
01 January 2013 CPAs,https://www.deq.nc.gov/media/5578/open
01 January 2014 CPAs,https://www.deq.nc.gov/media/5554/open
01 JLR4 Agenda Schedule,https://www.deq.nc.gov/media/5808/open
01 NCDAQ_Final_RH_SIP_Transmittal_Letter_040422.pdf,https://www.deq.nc.gov/media/28776/open
01 NRBM Agenda 032509,https://www.deq.nc.gov/media/5954/open
