document_id,routing_label
01.10.22_NC_Children_of_Wartime_Veterans'_Scholorship_Day.pdf,Reject
05.01.21-Military-Appreciation-Month-Proclamation.pdf,Reject
050516_USO_NC_serves_press_release.pdf,Reject
09.18.21_Birthday_of_the_United_States_Air_Force_and_Air_National_Guard.pdf,Reject
09.25.21_Blue_Star_Welcome_Week.pdf,Reject
09.26.21_Gold_Star_Mothers_Day_proclamation_2021.pdf,Reject
09272016_NCServes_Press_Release.pdf,Reject
10.12.21_First_Lieutenant_James_Earl_Wright_Day.pdf,Reject
10.23.21_Veteran_Friendly_State_Proclamation_FINAL.pdf,Reject
12.11.21_U.S._Army_Corporal_Leon_E._Clevenger_Day.pdf,Reject
2021_A_Veteran_Friendly_State_Proclamation.pdf,Reject
2021_National_Veteran_and_Military_Families_Month_Proclamation.pdf,Reject
2021_National_Veteran_and_Military_Families_Month_Proclamation.pdf_2,Reject
2021_Veteran_Friendly_State_Proclamation_FINAL.pdf,Reject
20230612_WomensVeteransDay_Proclamation.pdf,Reject
2024_Operation_Greenlight_Press_Release_Final.pdf,Reject
Active_Duty_Transition,Reject
African_American_Military_and_Veteran_Lineage_Day.pdf,Reject
Agreement_for_Burial_of_Cremated_Remains,Excluded
Approved_OBTT_Flyer_with_QR.pdf,Reject
Base_Sustainability_&_Community_Affairs_3rd_Quarter_2021,Reject
Base_Sustainability_and_Community_Affairs_1st_Quarter_2014,Auto-Approve
Base_Sustainability_and_Community_Affairs_1st_Quarter_2015,Auto-Approve
Base_Sustainability_and_Community_Affairs_1st_Quarter_2016,Reject
Base_Sustainability_and_Community_Affairs_1st_Quarter_2017,Reject
Base_Sustainability_and_Community_Affairs_1st_Quarter_2018,Reject
Base_Sustainability_and_Community_Affairs_1st_Quarter_2019,Reject
Base_Sustainability_and_Community_Affairs_1st_Quarter_2020,Reject
Base_Sustainability_and_Community_Affairs_1st_Quarter_2021,Reject
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2014,Auto-Approve
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2015,Auto-Approve
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2016,Reject
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2017,Reject
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2018,Reject
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2019,Reject
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2020,Reject
Base_Sustainability_and_Community_Affairs_2nd_Quarter_2021,Reject
Base_Sustainability_and_Community_Affairs_3rd_Quarter_2014,Reject
Base_Sustainability_and_Community_Affairs_3rd_Quarter_2015,Reject
Base_Sustainability_and_Community_Affairs_3rd_Quarter_2016,Reject
Base_Sustainability_and_Community_Affairs_3rd_Quarter_2017,Reject
Base_Sustainability_and_Community_Affairs_3rd_Quarter_2018,Reject
Base_Sustainability_and_Community_Affairs_3rd_Quarter_2019,Reject
Base_Sustainability_and_Community_Affairs_3th_Quarter_2020,Reject
Base_Sustainability_and_Community_Affairs_4th_Quarter_2013,Auto-Approve
Base_Sustainability_and_Community_Affairs_4th_Quarter_2014,Auto-Approve
Base_Sustainability_and_Community_Affairs_4th_Quarter_2015,Human Review
Base_Sustainability_and_Community_Affairs_4th_Quarter_2016,Reject
Base_Sustainability_and_Community_Affairs_4th_Quarter_2017,Reject
Base_Sustainability_and_Community_Affairs_4th_Quarter_2018,Reject
Base_Sustainability_and_Community_Affairs_4th_Quarter_2019,Reject
Base_Sustainability_and_Community_Affairs_4th_Quarter_2020,Reject
Base_Sustainability_and_Community_Affairs_4th_Quarter_2021,Reject
Benefits_Offices,Reject
Birthday_of_the_US_Army_2023_Proclamation.pdf,Reject
Birthday_of_the_US_Army_Proclamation.pdf,Reject
Board_of_Dietetics_Nutrition_Annual_Report_2024-2025,Reject
CDC_Interim_Infection_Prevention_Control_Recommendations_For…,Reject
CDC_Key_Strategies_to_Prepare_for_COVID_19_In_Long_Term_Care…,Reject
CDC_Reportable_Diseases_and_Conditions,Reject
CDC_Responding_to_COVID_19_In_Nursing_Homes,Reject
Cataret_County_Parade.pdf,Reject
Childcare_Roundtable_Agenda_2026,Reject
Community_Grant_Guidelines_Application,Excluded
DHHS_CMS_Upcoming_Requirements_for_Notification_of_Confirmed…,Reject
DHHS_IP_Staffing_Worksheet,Reject
DHHS_Response_to_COVID19_Cases,Reject
DHHS_SDH_Order_Novel_Coronavirus_Causing_Death,Reject
DMVA_April_Newsletter_2020,Reject
DMVA_April_Newsletter_2021,Reject
DMVA_April_Newsletter_2022,Reject
DMVA_August_Newsletter_2021,Reject
DMVA_August_Newsletter_2022,Reject
DMVA_County_Veterans_Office_Grant_-_Invitation_to_Apply_-_2nd_Round,Reject
DMVA_County_Veterans_Offices_Grant_-_2nd_Round_-_Application-Contract,Excluded
DMVA_County_Veterans_Offices_Grant_-_Application,Excluded
DMVA_County_Veterans_Offices_Grant_-_Invitation_to_Apply,Reject
DMVA_December_Newsletter_2021,Reject
DMVA_February_Newsletter_2020,Reject
DMVA_February_Newsletter_2022,Reject
DMVA_January_Newsletter_2020,Reject
DMVA_January_Newsletter_2022,Reject
DMVA_July_Newsletter_2021,Reject
DMVA_July_Newsletter_2022,Reject
DMVA_June_Newsletter_2021,Reject
DMVA_June_Newsletter_2022,Reject
DMVA_March_Newsletter_2020,Reject
DMVA_March_Newsletter_2021,Reject
DMVA_March_Newsletter_2022,Reject
DMVA_March_Newsletter_2023,Reject
DMVA_May_Newsletter_2021,Reject
DMVA_May_Newsletter_2022,Reject
DMVA_May_Newsletter_2023,Reject
DMVA_Mid_March_Newsletter_2021,Reject
DMVA_November_Newsletter,Reject
Dependent_Burial_Agreement,Excluded
agreement_for_dependent_burial,Excluded
agreement_for_veteran_casket_burial,Reject
dmva_guide_2019a,Reject
