document_id,routing_label
0002A_-_Goods_and_Services_from_NPWCBSD,Reject
0002A_NPWCBSD_NEW_Statewide_Term_Contract_Announcement,Reject
0003A_-_Products_and_Supplies_for_Correctional_Facilities,Reject
001A_-_Correction_Enterprise_Products,Reject
060C_-_Storefront_Auto_Parts,Reject
065A_-_Utility_and_Dump_Truck_Bodies,Reject
065A_Utility_and_Dump_Truck_Bodies_NEW_Statewide_Term_Contract…,Reject
"070G_-_Utility,_Transportation_&_Golf_Vehicles,_&_Related_Accessories,_Equipment,_Parts_&_Services",Reject
070G_NEW_Statewide_Term_Contract_Announcement,Reject
1017A_-_Agricultural_Chemicals,Reject
"1214A_-_Gases_Medical,_Welding_&_Specialty",Reject
1411B_-_Sanitary_Paper_Supplies,Reject
1412A_-_Office_Paper,Reject
1510B_-_Fuels,Reject
1510B_AmeriGas_Propane_LP_New_Customer_Memo,Reject
1510B_Campbell_Oil_Company_New_Customer_Memo,Auto-Approve
1510B_CatA-W10,Auto-Approve
1510B_CatA-W11,Auto-Approve
1510B_CatA-W12,Auto-Approve
1510B_CatA-W13,Auto-Approve
1510B_CatA-W14,Auto-Approve
1510B_CatA-W15,Auto-Approve
1510B_CatA-W16,Auto-Approve
1510B_CatA-W17,Auto-Approve
1510B_CatA-W18,Auto-Approve
1510B_CatA-W19,Auto-Approve
1510B_CatA-W20,Auto-Approve
1510B_CatA-W21,Auto-Approve
1510B_CatA-W22,Auto-Approve
1510B_CatA-W23,Auto-Approve
1510B_CatA-W24,Auto-Approve
1510B_CatA-W25,Auto-Approve
1510B_CatA-W26,Auto-Approve
1510B_CatA-W27,Auto-Approve
1510B_CatA-W28,Auto-Approve
1510B_CatA-W29,Auto-Approve
1510B_CatA-W30,Auto-Approve
1510B_CatA-W31,Auto-Approve
1510B_CatA-W32,Auto-Approve
1510B_CatA-W33,Auto-Approve
1510B_CatA-W34,Auto-Approve
1510B_CatA-W35,Auto-Approve
1510B_CatA-W36,Auto-Approve
1510B_CatA-W37,Auto-Approve
1510B_CatA-W38,Auto-Approve
1510B_CatA-W39,Auto-Approve
1510B_CatA-W40,Auto-Approve
1510B_CatA-W41,Auto-Approve
1510B_CatA-W42,Auto-Approve
1510B_CatA-W43,Auto-Approve
1510B_CatA-W44,Auto-Approve
1510B_CatA-W45,Auto-Approve
1510B_CatA-W46,Auto-Approve
1510B_CatA-W47,Auto-Approve
1510B_CatA-W48,Auto-Approve
1510B_CatA-W49,Auto-Approve
1510B_CatA-W50,Auto-Approve
1510B_CatA-W51,Auto-Approve
1510B_CatA-W52,Auto-Approve
1510B_CatA-W53,Auto-Approve
1510B_CatA-W54,Auto-Approve
1510B_CatA-W6,Auto-Approve
1510B_CatA-W7,Auto-Approve
1510B_CatA-W8,Auto-Approve
1510B_CatA-W9,Auto-Approve
1510B_CatA_W1,Auto-Approve
1510B_CatA_W2,Auto-Approve
1510B_CatA_W3,Auto-Approve
1510B_CatA_W4,Auto-Approve
1510B_CatA_W5,Auto-Approve
1510B_CatB-W10,Auto-Approve
1510B_CatB-W11,Auto-Approve
1510B_CatB-W12,Auto-Approve
1510B_CatB-W13,Auto-Approve
1510B_CatB-W14,Auto-Approve
1510B_CatB-W15,Auto-Approve
1510B_CatB-W16,Auto-Approve
1510B_CatB-W17,Auto-Approve
1510B_CatB-W18,Auto-Approve
1510B_CatB-W19,Auto-Approve
1510B_CatB-W20,Auto-Approve
1510B_CatB-W21,Auto-Approve
1510B_CatB-W22,Auto-Approve
1510B_CatB-W23,Auto-Approve
1510B_CatB-W24,Auto-Approve
1510B_CatB-W25,Auto-Approve
1510B_CatB-W26,Auto-Approve
1510B_CatB-W27,Auto-Approve
1510B_CatB-W28,Auto-Approve
1510B_CatB-W29,Auto-Approve
1510B_CatB-W30,Auto-Approve
1510B_CatB-W31,Auto-Approve
1510B_CatB-W32,Auto-Approve
1510B_CatB-W33,Auto-Approve
1510B_CatB-W34,Auto-Approve
1510B_CatB_W1,Auto-Approve
1510B_CatB_W2,Human Review
1510B_CatB_W3,Auto-Approve
1510B_CatB_W4,Auto-Approve
1510B_CatB_W5,Auto-Approve
