document_id,routing_label
(CACFP)_At-Risk_After_School_Meal_Programs_Meal_Pattern_Choices,Auto-Approve
(USDA)_A_Guide_to_Smart_Snacks_in_School_for_School_Year_2018-2019,Reject
0-COVID19_KKFA_Nationwide_Waiver_Cover_Letter.pdf,Reject
01_ALA_Garner_Full_App_PUBLIC.pdf,Reject
01_ALA_Monroe_Full_App_PUBLIC.pdf,Excluded
01_Agape_Achievement_FULL_APP_PUBLIC.pdf,Excluded
01_Alpha_SOE_FULL_APP_PUBLIC.pdf,Reject
01_Centerpoint_Classical_Application_FULL_APP_PUBLIC.pdf,Reject
01_Flat_Rock_Classical_Full_App_PUBLIC.pdf,Reject
01_HCLA_FULL_APP_PUBLIC.pdf,Human Review
01_High_Point_Preparatory_FULL_APP_PUBLIC.pdf,Excluded
01_Johnston_Prep_FULL_APP_PUBLIC.pdf,Excluded
01_Legacy_Classical_Full_App_PUBLIC.pdf,Excluded
01_Liberty_Charter_Academy_Full_App_PUBLIC.pdf,Reject
01_MINA_PUBLIC_full_app.pdf,Reject
01_Movement_School_Northeast_Charlotte_Full_App_PUBLIC.pdf,Excluded
01_Movement_School_West_Charlotte_Full_App_PUBLIC.pdf,Excluded
01_Riverside_Leadership_Academy_PUBLIC_full_app.pdf,Reject
01_SABER_STEM_Charlotte_Full_App_PUBLIC.pdf,Excluded
01_Two_Rivers_Full_App_PUBLIC.pdf,Reject
01_Unity_Global_Academy_PUBLIC_full_app.pdf,Excluded
04.25.2024_-_Supply_Chain_Allotment_Q&A,Auto-Approve
05.26.22_Special_CSAB_Minutes_APPROVED.pdf,Auto-Approve
06E_.0100_(Attendance)_Combined.pdf,Human Review
071_Survey.pdf,Excluded
07222025_SBO_StrategicPlanning_Update_v1.pdf,Excluded
076,Auto-Approve
08_2025-26_instrctns_compltng_ffvp_online_app.pdf,Reject
09182020,Reject
09252020,Reject
09conference,Excluded
1.0_Percent_Alternate_Assessment_Participation_Extension_Waiver_Request,Reject
1.0_Percent_Participation_Waiver_Request_2020–21,Human Review
1.0_Percent_PowerPoint,Excluded
1.0_Percent_Transcript,Auto-Approve
10022020,Reject
107-COVID19NationwideWaiverAreaEligibility_ExtendAreaElig.pdf,Reject
108-COVID19NationwideWaiverAreaEligibilityCE_Area_Elig_ClsdEnrlld.pdf,Reject
109-COVID19NationwideWaiver_Reimbursement_Rates_SSO.pdf,Reject
10_20_Day_Withdrawal_Request_Memo,Reject
10conference,Excluded
11.04.2025_SN_Service_Area_Map,Reject
110-COVID19_Admin_Review.Fiscal_Action_Supply_Chain_Waiver.pdf,Reject
111-COVID19NationwideWaiver_Non-Congregate_Feeding.pdf,Reject
112-COVID19NationwideWaiver_Parents_PickUp_Meals.pdf,Reject
112countbylea,Reject
113-COVID19NationwideWaiver_Meal_Serv_Time_Restrictions.pdf,Reject
113countbylea,Reject
113countbylea_2,Human Review
113countbylea_3,Human Review
113countbylea_4,Human Review
113countbylea_5,Auto-Approve
113countbylea_6,Human Review
113countbylea_7,Human Review
115c375,Auto-Approve
12.13.2023_Letter_Waiver_Request_CEP_Mid-Year_Adoption,Reject
12282022_EPP_Initial_Authorization_Process_Guide_FINAL.pdf,Auto-Approve
150_Most_Frequently_Used_Words.pdf,Auto-Approve
15_16_Applicants_Press,Auto-Approve
16_NCAC_06B_.0100_(Compiled),Auto-Approve
16_NCAC_06C_.0110_(Qualifications_of_School_Nurses)_-_ADOPT_2025_v.1,Human Review
16_NCAC_06C_.0110_(Qualifications_of_School_Nurses)_-_For_Publication_in_Register.pdf,Auto-Approve
16_NCAC_06C_.0400_(Salary_and_Benefits),Human Review
16_NCAC_06D_.0106_(Limited_English_Proficiency_Programs).pdf,Human Review
16_NCAC_06D_0508-_for_publication,Auto-Approve
16_NCAC_06E_.0200_(Interscholastic_Athletics).pdf,Reject
16_NCAC_06E_.0300_(Driver_Education).pdf,Human Review
16_NCAC_06G_.0300_(School_Based_Management_&_Accountability),Human Review
16_NCAC_06G_.0602_(Technology_Cost_Considerations).pdf,Human Review
16_NCAC_06H_0100-_for_publication,Human Review
16_NCAC_06_Decennial_Review,Reject
19_EDC_02111_Wake,Reject
19_EDC_06677_Charlotte,Reject
19_EDC_06677_Charlotte_Appeal,Reject
19_EDC_06873_Charlotte,Reject
1_-_NC_2022_OVS.pdf,Reject
1_13_By_School_Race_Gender,Auto-Approve
1_13_By_School_Race_Gender_2,Human Review
1_13_By_School_Race_Gender_3,Human Review
1_13_by_school_race_gender_4,Reject
2003-2019_Discrete_Math_Crosswalk,Reject
2003-2019_Precalculus_Crosswalk,Reject
2004_05_21stcclc,Reject
2006,Reject
2006_07_21stcclc,Reject
2007,Reject
20_Day_Rule_Memo,Reject
20_EDC_00832_Wake,Reject
20_EDC_03332_Franklin,Reject
20_EDC_03534_Union_County,Reject
2_-_NC_First_Week_Waiver_Approval.pdf,Reject
2_Hr_Learning_Online_-_PUBLIC_APPLICATION,Reject
Quick_Guide_to_Special_Education_Dispute_Resolution_Processes_for_Parents_Guardians,Reject
