document_id,routing_label
'Explore_State_Budget_Report'_Help_Documentation,Reject
'IT_Contracts_Report'_Help_Documentation,Auto-Approve
'State_Grants_Report'_Help_Documentation,Auto-Approve
'Statewide_&_Agency_Contracts'_Report_Help_Documentation,Reject
'Transportation_Contracts_Report'_Help_Documentation,Auto-Approve
'Vendor_Payments_Report'_Help_Documentation,Auto-Approve
01062016FundingSummary,Reject
01082016_Minutes,Auto-Approve
01112018StandardsAgenda,Reject
01132016EduAgenda,Reject
01132016EduSummary,Reject
01212021_EDU_Committee_Agenda_Packet,Reject
01232020_Funding_Committee_APPROVED_Minutes,Reject
01232020_Funding_Meeting_AGENDA,Reject
01242014_secondary_psap_policy,Reject
01262018_Agenda,Reject
01262018_Agenda_Book_1,Reject
01272017_Agenda,Reject
01272017_Agenda_2,Reject
01272017_Meeting_Agenda_Book,Reject
01272017_Meeting_Agenda_Book_2,Reject
01272017_Minutes,Human Review
01272017_Minutes_2,Human Review
01_08_16_Agenda_Book,Reject
01_29_16_Agenda_Book,Reject
01_30_15_Agenda_Book,Reject
01_30_15_Agenda_Book_3,Reject
02172016EduAgenda,Reject
02172016EduSummary,Reject
02182016NextGenAgenda,Reject
02202020EDUagenda,Reject
02202020_Funding_Committee_APPROVED_Minutes,Reject
02202020_Funding_Meeting_AGENDA,Reject
02232018_Agenda,Reject
02232018_Agenda_Book,Reject
02232018_Funding_Reconsideration_Policy,Auto-Approve
02242017_1_Agenda_Book,Reject
02242017_1_Agenda_Book_2,Reject
02242017_Agenda,Reject
02242017_Agenda_2,Reject
02262016_Agenda_Book_1,Reject
02262016_Agenda_Book_1_2,Reject
02_04_2014_Funding_Agenda,Reject
02_19_2014_Funding_Agenda,Reject
02_27_15_Agenda_Book,Reject
02_27_15_Agenda_Book_2,Reject
03102016NextGenAgenda,Reject
03122020_Technology_Committee_Minutes_Approved,Reject
03152016FundingSummary,Reject
03152016_Funding_Meeting_AGENDA,Reject
03182016_Agenda,Reject
03182016_Agenda_Book_2,Reject
03182016_Minutes,Human Review
03192020_Funding_Committee_APPROVED_Minutes,Reject
03192020_Funding_Committee_Agenda,Reject
03232018_Agenda,Reject
03262020EDUagenda,Reject
03312017_Agenda,Reject
03312017_Agenda_2,Reject
03312017_Agenda_Book,Reject
03312017_Agenda_Book_2,Reject
03_12_2020_Agenda_Technology_Committee,Reject
03_24_15_Funding_Agenda,Reject
03_24_15_Funding_Com_Summary,Reject
03_27_15_Agenda_Book,Reject
03_27_15_Agenda_Book_2,Reject
04062016FundingSummary,Reject
04062016_Funding_Meeting_AGENDA,Reject
04092020_Technology_Committee_Minutes_Approved,Reject
04142016NextGenAgenda,Reject
04202016NextGenAgenda,Reject
04202018_Agenda_Book,Reject
04202018_Draft_Agenda,Reject
04222016_Agenda,Reject
04222016_Agenda_Book_1,Reject
04222016_Minutes,Auto-Approve
04232020_Funding_Committee_APPROVED_Minutes,Reject
04232020_Funding_Meeting_AGENDA,Reject
04282017_Agenda,Reject
04282017_Agenda_2,Human Review
04282017_Agenda_Book,Reject
04282017_Agenda_Book_2,Reject
04_09_2020_Agenda_Technology_Committee,Reject
04_17_14_Funding_Agenda,Reject
04_21_2015_Fund_Com_Notes,Reject
04_24_15_Agenda_Book,Reject
04_24_2015_Funding_Agenda,Reject
05032016FundingSummary,Reject
05032016_Funding_Meeting_AGENDA,Reject
05122016NextGenAgenda,Reject
05_07_15_Funding_Summary,Reject
05_07_2015_Funding_Agenda,Reject
05_08_14_Funding_Agenda,Reject
05_14_2020_Agenda_Technology_Committee_Agenda_Final,Reject
05_28_15_Agenda_Book,Reject
ESRMO_Newsletter_(June_2025),Reject
IT_Project_Management_Process_Report,Reject
"IT_Strategy_Board_Agenda_(June_19,_2025)",Reject
SMAC_LiDAR_Apr_10_2024,Excluded
