document_id,routing_label
#_041_-_A_Guide_to_OSHA_for_Small_Businesses,Reject
#_108_-_Occupational_Safety_and_Health_Standards_for_Agriculture,Reject
#_114_-_Introduction_to_Migrant_Housing_Inspections_in_North_Carolina,Reject
13-13-0101.36-11.pdf,Human Review
13-13-0101.36-11.pdf_2,Reject
13_NCAC_01B_.0101.pdf_(Amendment)_Instructions_for_Filing_a_Petition_for_Rule-Making,Auto-Approve
13_NCAC_01B_.0102.pdf_(Amendment)_Mailing_List,Auto-Approve
13_NCAC_01B_.0103.pdf_(Repeal)_Disposition_of_Petition,Auto-Approve
13_NCAC_07F.0101,Human Review
13_NCAC_07F_.0201_Notice_of_Text,Human Review
13_NCAC_15_.0702.pdf,Reject
13_NCAC_15_.0702.pdf_2,Reject
13_NCAC_15_.0702.pdf_3,Reject
13_NCAC_15_0702,Auto-Approve
13_NCAC_15_0703,Auto-Approve
13_NCAC_15_0704,Auto-Approve
13_NCAC_15_0705,Auto-Approve
1910_Subpart_D_Side-by-Side_Comparison,Reject
2012_December_Volume_33,Reject
2013_July_Volume_34,Reject
2014_August_Volume_35,Reject
2015_January-February_Edition,Reject
2015_July-August_Edition,Reject
2015_March-April_Edition,Reject
2015_May-June_Edition,Reject
2015_November-December_Edition,Reject
2015_September-October_Edition,Reject
2015_September_Volume_36,Reject
2016_January-February_Edition,Reject
2016_January-February_Edition_2,Reject
2016_July-August_Edition,Reject
2016_March-April_Edition,Reject
2016_March-April_Edition_2,Reject
2016_May-June_Edition,Reject
2016_November-December_Edition,Reject
2016_November_Volume_37,Reject
2016_September-October_Edition,Reject
2017_Elevator_Company_Meeting_Minutes,Reject
2017_January-February_Edition,Reject
2017_July-August_Edition,Reject
2017_March-April_Edition,Reject
2017_May-June_Edition,Reject
2017_November-December_Edition,Reject
2017_Safety_Awards_Letter,Reject
2017_September-October_Edition,Reject
2018_Annual_Elevator_Company_Meeting,Reject
2018_Elevator_Company_Meeting,Reject
2018_Incidence_Rates,Reject
2018_January-February_Edition,Reject
2018_July-August_Edition,Reject
2018_March-April_Edition,Reject
2018_May-June_Edition,Reject
2018_November-December_Edition,Reject
2018_September-October_Edition,Reject
2018_youth_employment_annual_report,Reject
2019-youth-employment-annual-report.pdf,Auto-Approve
2019_A17.1_Code,Reject
2019_Checklist_Requirements,Reject
2019_Elevator_Company_Meeting,Reject
2019_External_inspections,Reject
2019_Incidence_Rate_Chart.pdf,Reject
2019_Insurance_policy_numbers_on_reports,Reject
2019_January-February_Edition,Reject
2019_July-August_Edition,Reject
2019_March-April_Edition,Reject
2019_May-June_Edition,Reject
2019_Model_Hobby_PRDs,Reject
2019_November-December_Edition,Reject
2019_September-October_Edition,Reject
2019_Youth_Employment_Annual_Report.pdf,Auto-Approve
2019_annual_report,Reject
2019_migrant_housing_report,Human Review
2019_special_emphasis_program_report,Reject
2020-2021.pdf,Reject
2020-Special-Emphasis-Program-Report.pdf,Reject
2020_January-February_Edition,Reject
2020_July-August_Edition,Reject
2020_March-April_Edition,Reject
2020_May-June_Edition,Reject
2020_Migrant_Housing_Act_Enforcement_Report.pdf,Human Review
2020_November-December_Edition,Reject
2020_Safety_Award_Application.pdf,Excluded
2020_Safety_Award_Letter,Reject
2020_mobile_communication_device_report,Auto-Approve
2020_oil_and_gas_standards_report,Human Review
2020_state_agency_licensing_board_report,Auto-Approve
2021_January-February_Edition,Reject
2021_July-August_Edition,Reject
2021_N.C._Department_of_Labor_Mobile_Communication_Device_Report.pdf,Auto-Approve
2021_Report_on_Health_and_Safety_Standards_for_Workers_Engaged_in_Oil_and_Gas_Operations.pdf,Auto-Approve
2021_Safety_Award_Application.pdf,Excluded
2021_Safety_Awards_Banquet_Schedule.pdf,Auto-Approve
2021_Safety_Awards_Letter.pdf,Reject
