document_id,routing_label
001_DCDEE_21_Request_for_Application_Increasing_Access_for…,Reject
0030_Referral_Friend_English.pdf,Excluded
0030_Referral_Friend_Spanish.pdf,Excluded
01-22_State_Actives,Human Review
01-22_State_CAPERS,Auto-Approve
01-24_State_Actives,Auto-Approve
01-24_State_CAPERs,Auto-Approve
01-25_Federal_Actives,Auto-Approve
01-25_Federal_CAPERs,Reject
01-25_State_Actives,Auto-Approve
01-25_State_CAPERs,Auto-Approve
01.08.25_NC_Crisis_Services_Advisory_Committee_Notes,Auto-Approve
01_07_Actives,Auto-Approve
01_07_negatives,Auto-Approve
01_08_Actives,Human Review
01_09_Actives,Reject
01_10_actives,Auto-Approve
01_11_Actives,Auto-Approve
01_11_Fed_Actives,Auto-Approve
01_12_Actives,Auto-Approve
01_13_Actives,Human Review
01_14_Actives,Human Review
01_15_Actives,Auto-Approve
01_16_Actives,Auto-Approve
01_17_Actives,Auto-Approve
01_19_Actives,Human Review
01_19_Case_and_Procedural_Error_Rate,Auto-Approve
01_2001,Reject
01_20_Actives,Auto-Approve
01_20_Case_and_Procedural_Error_Rate,Auto-Approve
02-22_Actives,Human Review
02-22_CAPERS,Auto-Approve
02-22_Fed_Actives,Reject
02-22_Fed_CAPERS,Reject
02-24_Federal_Actives_with_Ranks,Reject
02-24_Federal_CAPERs,Reject
02-24_State_Actives,Auto-Approve
02-24_State_CAPERs,Auto-Approve
02-25_Federal_Actives,Auto-Approve
02-25_Federal_CAPERs,Reject
02-25_State_Actives,Auto-Approve
02-25_State_CAPERs,Auto-Approve
02.26.24_DSP_Workforce_Advisory_Committee_Slides,Excluded
02NCSSBG,Human Review
02_07_Actives,Human Review
02_07_negatives,Auto-Approve
02_08_Actives,Human Review
02_09_Actives,Reject
02_10_2016_State_CFAC,Reject
02_10_Fed_Actives,Auto-Approve
02_10_actives,Human Review
02_10_negatives,Human Review
02_11_actives,Human Review
02_11_negatives,Human Review
02_12_Actives,Human Review
02_13_Actives,Human Review
02_13_negatives,Auto-Approve
02_14_Actives,Auto-Approve
02_15_Actives,Human Review
02_16_Actives,Auto-Approve
02_17_Actives,Human Review
02_19_Actives,Human Review
02_19_Case_and_Procedural_Error_Rate,Human Review
02_20_Actives,Auto-Approve
02_20_Case_and_Procedural_Error_Rate,Auto-Approve
02_Medical_Home_Checklist_7_Components-e.pdf,Excluded
03-22_Actives,Reject
03-22_CAPERS,Reject
03-25_Federal_Actives,Auto-Approve
03-25_Federal_CAPERs,Reject
03-25_State_Actives,Auto-Approve
03-25_State_CAPERs,Human Review
03.18.24_DSP_Workforce_Advisory_Committee_Slides,Excluded
03NCSSBG,Auto-Approve
03_07_Actives,Human Review
03_07_negatives,Auto-Approve
03_08_Actives,Auto-Approve
03_09_2016_State_CFAC_Min,Reject
03_09_Actives,Auto-Approve
03_10_Actives,Auto-Approve
03_10_negatives,Human Review
03_11_Actives,Human Review
03_11_negatives,Human Review
03_12_Active,Human Review
03_12_Negative,Auto-Approve
03_13_Actives,Auto-Approve
03_14_Actives,Auto-Approve
03_15_Actives,Human Review
03_16_Actives,Auto-Approve
03_17_Actives,Auto-Approve
03_19_Actives,Human Review
03_19_Case_and_Procedural_Error_Rate,Auto-Approve
03_Medical_Home_Checklist_Partnering_with_Provider-e.pdf,Excluded
04_07_Actives,Auto-Approve
04_07_negatives,Human Review
04_08_Actives,Human Review
04_09_Actives,Human Review
04_10_Fed_Actives,Reject
04_10_actives,Auto-Approve
2023-2027_State_Aging_Plan,Reject
