Media Name,URL
2023-2027 State Aging Plan,https://www.ncdhhs.gov/media/27712/open
001 DCDEE 21 Request for Application   Increasing Access for…,https://www.ncdhhs.gov/media/9036/open
0030 Referral Friend English.pdf,https://www.ncdhhs.gov/media/16276/open
0030 Referral Friend Spanish.pdf,https://www.ncdhhs.gov/media/16278/open
01 07 Actives,https://www.ncdhhs.gov/media/11320/open
01 07 negatives,https://www.ncdhhs.gov/media/7456/open
01 08 Actives,https://www.ncdhhs.gov/media/11321/open
01 09 Actives,https://www.ncdhhs.gov/media/11322/open
01 10 actives,https://www.ncdhhs.gov/media/11323/open
01 11 Actives,https://www.ncdhhs.gov/media/11324/open
01 11 Fed Actives,https://www.ncdhhs.gov/media/7900/open
01 12 Actives,https://www.ncdhhs.gov/media/11325/open
01 13 Actives,https://www.ncdhhs.gov/media/11326/open
01 14 Actives,https://www.ncdhhs.gov/media/11327/open
01 15 Actives,https://www.ncdhhs.gov/media/11328/open
01 16 Actives,https://www.ncdhhs.gov/media/11329/open
01 17 Actives,https://www.ncdhhs.gov/media/11330/open
01 19 Actives,https://www.ncdhhs.gov/media/8268/open
01 19 Case and Procedural Error Rate,https://www.ncdhhs.gov/media/8267/open
01 20 Actives,https://www.ncdhhs.gov/media/9819/open
01 20 Case and Procedural Error Rate,https://www.ncdhhs.gov/media/9818/open
01 2001,https://www.ncdhhs.gov/media/2998/open
01-22 State Actives,https://www.ncdhhs.gov/media/16560/open
01-22 State CAPERS,https://www.ncdhhs.gov/media/16563/open
01-24 State Actives,https://www.ncdhhs.gov/media/24817/open
01-24 State CAPERs,https://www.ncdhhs.gov/media/24818/open
01-25 Federal Actives,https://www.ncdhhs.gov/media/27965/open
01-25 Federal CAPERs,https://www.ncdhhs.gov/media/27968/open
01-25 State Actives,https://www.ncdhhs.gov/media/27957/open
01-25 State CAPERs,https://www.ncdhhs.gov/media/27960/open
01.08.25 NC Crisis Services Advisory Committee Notes,https://www.ncdhhs.gov/media/26639/open
02 07 Actives,https://www.ncdhhs.gov/media/11331/open
02 07 negatives,https://www.ncdhhs.gov/media/7455/open
02 08 Actives,https://www.ncdhhs.gov/media/11332/open
02 09 Actives,https://www.ncdhhs.gov/media/11333/open
02 10 2016 State CFAC,https://www.ncdhhs.gov/media/1214/open
02 10 actives,https://www.ncdhhs.gov/media/11334/open
02 10 Fed Actives,https://www.ncdhhs.gov/media/7901/open
02 10 negatives,https://www.ncdhhs.gov/media/11335/open
02 11 actives,https://www.ncdhhs.gov/media/11336/open
02 11 negatives,https://www.ncdhhs.gov/media/11337/open
02 12 Actives,https://www.ncdhhs.gov/media/11338/open
02 13 Actives,https://www.ncdhhs.gov/media/11339/open
02 13 negatives,https://www.ncdhhs.gov/media/11340/open
02 14 Actives,https://www.ncdhhs.gov/media/11341/open
02 15 Actives,https://www.ncdhhs.gov/media/11342/open
02 16 Actives,https://www.ncdhhs.gov/media/11343/open
02 17 Actives,https://www.ncdhhs.gov/media/11344/open
02 19 Actives,https://www.ncdhhs.gov/media/8354/open
02 19 Case and Procedural Error Rate,https://www.ncdhhs.gov/media/8353/open
02 20 Actives,https://www.ncdhhs.gov/media/10086/open
02 20 Case and Procedural Error Rate,https://www.ncdhhs.gov/media/10085/open
02 Medical Home Checklist 7 Components-e.pdf,https://www.ncdhhs.gov/media/27744/open
02-22 Actives,https://www.ncdhhs.gov/media/16551/open
02-22 CAPERS,https://www.ncdhhs.gov/media/16552/open
02-22 Fed Actives,https://www.ncdhhs.gov/media/16553/open
02-22 Fed CAPERS,https://www.ncdhhs.gov/media/16554/open
02-24 Federal Actives with Ranks,https://www.ncdhhs.gov/media/25232/open
02-24 Federal CAPERs,https://www.ncdhhs.gov/media/25233/open
02-24 State Actives,https://www.ncdhhs.gov/media/25230/open
02-24 State CAPERs,https://www.ncdhhs.gov/media/25231/open
02-25 Federal Actives,https://www.ncdhhs.gov/media/27966/open
02-25 Federal CAPERs,https://www.ncdhhs.gov/media/27969/open
02-25 State Actives,https://www.ncdhhs.gov/media/27958/open
02-25 State CAPERs,https://www.ncdhhs.gov/media/27961/open
02.26.24 DSP Workforce Advisory Committee Slides,https://www.ncdhhs.gov/media/26432/open
02NCSSBG,https://www.ncdhhs.gov/media/8584/open
03 07 Actives,https://www.ncdhhs.gov/media/11345/open
03 07 negatives,https://www.ncdhhs.gov/media/7454/open
03 08 Actives,https://www.ncdhhs.gov/media/11346/open
03 09 2016 State CFAC Min,https://www.ncdhhs.gov/media/1215/open
03 09 Actives,https://www.ncdhhs.gov/media/11347/open
03 10 Actives,https://www.ncdhhs.gov/media/11348/open
03 10 negatives,https://www.ncdhhs.gov/media/11349/open
03 11 Actives,https://www.ncdhhs.gov/media/11350/open
03 11 negatives,https://www.ncdhhs.gov/media/11351/open
03 12 Active,https://www.ncdhhs.gov/media/11352/open
03 12 Negative,https://www.ncdhhs.gov/media/11353/open
03 13 Actives,https://www.ncdhhs.gov/media/11354/open
03 14 Actives,https://www.ncdhhs.gov/media/11355/open
03 15 Actives,https://www.ncdhhs.gov/media/11356/open
03 16 Actives,https://www.ncdhhs.gov/media/11357/open
03 17 Actives,https://www.ncdhhs.gov/media/11358/open
03 19 Actives,https://www.ncdhhs.gov/media/8656/open
03 19 Case and Procedural Error Rate,https://www.ncdhhs.gov/media/8655/open
03 Medical Home Checklist Partnering with Provider-e.pdf,https://www.ncdhhs.gov/media/27745/open
03-22 Actives,https://www.ncdhhs.gov/media/17547/open
03-22 CAPERS,https://www.ncdhhs.gov/media/17546/open
03-25 Federal Actives,https://www.ncdhhs.gov/media/28496/open
03-25 Federal CAPERs,https://www.ncdhhs.gov/media/28498/open
03-25 State Actives,https://www.ncdhhs.gov/media/28492/open
03-25 State CAPERs,https://www.ncdhhs.gov/media/28494/open
03.18.24 DSP Workforce Advisory Committee Slides,https://www.ncdhhs.gov/media/26433/open
03NCSSBG,https://www.ncdhhs.gov/media/8583/open
04 07 Actives,https://www.ncdhhs.gov/media/7821/open
04 07 negatives,https://www.ncdhhs.gov/media/7453/open
04 08 Actives,https://www.ncdhhs.gov/media/7820/open
04 09 Actives,https://www.ncdhhs.gov/media/7819/open
04 10 actives,https://www.ncdhhs.gov/media/7818/open
04 10 Fed Actives,https://www.ncdhhs.gov/media/7817/open
