document_id,routing_label
01-title.pdf,Excluded
02-self-insured-workers-compensation-group-fund.pdf,Auto-Approve
03-reciprocal.pdf,Reject
04-property-and-casualty.pdf,Reject
05-life-accident-fraternal.pdf,Excluded
06-hmo-php.pdf,Excluded
07-hmdi.pdf,Human Review
08-factory-mutual.pdf,Human Review
08-factory-mutual.pdf_2,Human Review
083122-flyer.pdf,Reject
083122-flyer.pdf_2,Reject
083122-flyer.pdf_3,Reject
09county-farm-mutual.pdf,Excluded
11_NCAC_01,Human Review
11_NCAC_01_2,Human Review
11_NCAC_04,Auto-Approve
11_NCAC_06A.0418,Auto-Approve
11_NCAC_08_.0735_Temporary_Certificate,Auto-Approve
11_NCAC_08_.0900_and_.1400,Auto-Approve
11_NCAC_10_.0602_-_Readoption,Human Review
11_NCAC_12,Human Review
11_NCAC_13.0308_Annual_Statement,Auto-Approve
11_NCAC_17,Auto-Approve
11_NCAC_17_2,Auto-Approve
11_NCAC_6A.0906,Auto-Approve
11_NCAC_6A_-_Readoptions,Human Review
11_ncac_05a_.0910_-_OAH_1.25.23,Human Review
11_ncac_05a_.0911_-_OAH_1.24.23,Auto-Approve
12_21_18_homeowners_ratesterritories_map,Excluded
15-B-01_-_TRIA_Reauthorization_Act_of_2015,Auto-Approve
15-B-02_-_NCIUA_Member_Company_HO_Report,Auto-Approve
15-B-03_-_Extra_Rx_During_State_of_Emergency,Auto-Approve
15-B-04_-_Procedure_for_Catastrophic_Adjusters,Reject
15-B-05_-_Annual_Financial_Reporting_Law,Human Review
15-B-06_-_Extra_Rx_During_State_of_Emergency,Auto-Approve
16-B-01_-_Extra_Rx_During_State_of_Emergency,Reject
16-B-02_-_NCIUA_Member_Company_HO_Report,Auto-Approve
16-B-03_-_Procedures_for_Catastrophic_Adjusters,Reject
16-B-04_-_Extra_Prescriptions_due_to_Declaration_of_Disaster_or_Emergency_in_North_Carolina,Reject
16-B-05_-_Extra_Prescriptions_due_to_Declaration_of_Disaster_or_Emergency_in_North_Carolina,Reject
16-B-06_-_Extra_Prescriptions_due_to_Declaration_of_Disaster_or_Emergency_in_North_Carolina_(EXPANDED_AREA),Reject
16-B-07_-_Hurricane_Matthew_-_Disaster_Bulletin_(Counties_Amended_10-19-16),Auto-Approve
16-B-07_-_Hurricane_Matthew_-_Disaster_Bulletin_(Counties_Amended_11-03-16),Reject
16-B-08_-_Activation_of_NCDOI_Disaster_Mediation_Program,Auto-Approve
16-B-09_-_Procedure_for_Catastrophic_Motor_Vehicle_Damage_Appraisers,Reject
17-B-01_-_NCIUA_Member_Company_HO_Report,Auto-Approve
17-B-02_-_Procedure_for_Catastrophic_Adjusters,Reject
17-B-03_-_Procedure_for_Catastrophic_Motor_Vehicle_Damage_Appraisers,Reject
17-B-04_-_Extra_Rx_During_State_of_Emergency,Auto-Approve
17-B-05_-_Annual_Financial_Reporting_Law_Bulletin,Human Review
18-B-01_-_Weather_Projections_-_Approaching_Winter_Storm,Reject
18-B-02_-_Weather_Projections_-_Approaching_Winter_Storm,Reject
18-B-03_-_Dwelling_Fire_Data_Call,Auto-Approve
18-B-04_-_NCIUA_Member_Co,Auto-Approve
18-B-05_-_Procedure_for_Catastrophic_Adjusters,Reject
18-B-06_-_Procedure_for_Catastrophic_Motor_Vehicle_Damage_Appraisers,Reject
18-B-07_-_Extra_Rx_During_State_of_Emergency,Reject
18-B-08_-_Consent_to_Rate,Reject
18-B-09_-_Extra_RX_During_State_of_Emergency,Reject
18-B-10_-_Annual_Financial_Reporting_Law_Bulletin,Human Review
18-B-11_-_Activation_of_NCDOI_Disaster_Mediation_Program,Auto-Approve
18-B-12_-_Hurricane_Florence_Disaster_Bulletin,Auto-Approve
18-B-13_-_Hurricane_Florence_Data_Call,Auto-Approve
18-B-14_-_Extra_RX_During_State_of_Emergency,Reject
18-B-15_-_CTR_Data_Call_b2,Auto-Approve
18-B-16_-_Consent_to_Rate_Data_Collection,Auto-Approve
18-B-17_-_CTR_Rule_Changes,Auto-Approve
18-B-18_-_Snow_Extra_RX_Bulletin,Auto-Approve
18-B-19_-_NCIUA_Member_Company_Homeowners_Report,Auto-Approve
19-B-01_-_2019-2020_Procedures_for_Catastrophic_Adjusters_Bulletin,Reject
19-B-02_-_2019-2020_Procedures_for_Catastrophic_Motor_Vehicle_Damage_Appraisers_Bulletin,Reject
19-B-03_-_State_of_Emergency,Reject
19-B-04_-_Individual_Assistance_Hurricane_Dorian,Reject
19-B-05_-_Small_Business_Health_Care_Act,Reject
19-B-06_-_Activation_of_NCDOI_Disaster_Mediation_Program,Auto-Approve
1_05_18_homeowner_rate_territories_media,Auto-Approve
1st_Atlantic_Surety_Co_2013_ROE,Reject
1st_Atlantic_Surety_Co_2017_ROE,Reject
1st_Atlantic_Surety_Co_2022_ROE,Reject
20-B-01_-_NCIUA_Member_Company_Homeowners_Report,Auto-Approve
20-B-02_-_CTR_Data_Call_(b2),Auto-Approve
20-B-03_-_CTR_Data_Call_(e),Auto-Approve
20-B-04_-_Protective_Actions_to_Prevent_COVID-19_NC_Operations_-_Expired,Reject
20-B-05_-_Guidance_for_Insurers_Regarding_Coverage_and_Cost_Sharing_Requirements_Related_to_COVID-19_Public_Health_Emergency,Reject
20-B-06_-_COVID-19_Pandemic,Reject
20-B-07_-_COVID-19_Extended_Deferral_Period,Reject
20-B-08_-_Bulletin_TRIA_Reauthorization_Act_of_2019,Reject
20-B-11_-_CTR_Data_Call_G.S._58-36-30(e),Reject
20-B-12_-_Extra_Prescriptions_During_a_State_of_Emergency_or_Disaster,Reject
2013_P2_Accident_and_Health_By_NC_Insurer_Type,Human Review
2013_P2_Property_and_Casualty_Business_By_NC_Insurer_Type,Human Review
2013_P3S02.2_Multiple_Peril_Crop,Auto-Approve
2013_P3S04_Homeowners_Multiple_Peril,Auto-Approve
2013_P3S19.2_Other_Private_Passenger_Auto_Liability,Auto-Approve
2013_P3S21.1_Private_Passenger_Auto_Physical_Damage,Auto-Approve
2013_P3Scfm_County_Farm_Mutual,Human Review
2013_P3Stitle_Title,Auto-Approve
Filing_Checklist_-_Factory_Mutual,Excluded
"Pierre,_Abdi_Jean_19895309",Reject
Questionnaire_Form,Excluded
