document_id,routing_label
04-27-2022_SALT_Guidance,Reject
1042-s_format.pdf,Auto-Approve
1042_s_format,Auto-Approve
1042_s_format_2,Auto-Approve
1099_format,Reject
1099_format.pdf,Auto-Approve
1099_format_2,Human Review
109_Kinsale_Land_Trust_111PTC944_COA_Remand,Auto-Approve
109_Kinsale_Land_Trust_11PTC944,Reject
10_October_20_Day_Agenda,Human Review
10_October_20_Day_Agenda.pdf,Human Review
11_November_2025_Agenda.pdf,Auto-Approve
12_December_2025_Agenda.pdf,Reject
13_Motor_Carrier_Enforcement_DOR,Excluded
14_dor_taxenforcement,Excluded
17_18taxratesandeffectivetaxrates,Auto-Approve
"17_NCAC_04,_Gross_Receipts_and_Privilege_License_Taxes",Human Review
17_NCAC_04_Existing_Rule_Review_Initial_Classification_Report,Reject
"17_NCAC_05_Periodic_Review_-_Corporate_Franchise,_Income,_and_Insurance_Taxes",Human Review
17cvs1663ncdorvfirstpetroleum,Human Review
1999_Sales_Tax_Legislative_Changes_(1),Auto-Approve
1999_Sales_Tax_Legislative_Changes_(2),Human Review
1999_and_2000_Individual_Income_Tax_Bulletins,Human Review
1_2020_Information_Who_Must_Apply_Cig_License,Reject
1_2020_Information_Who_Must_Apply_Cig_License_2,Reject
1_January_2025_Agenda.pdf,Auto-Approve
1_January_2026_Agenda.pdf,Human Review
1st_2nd_qtr_2013_gas_1200b_v1_13,Excluded
1st_2nd_qtr_2014_gas_1200b_v1_14,Excluded
1st_2nd_qtr_2016_gas_1200_v3_16,Excluded
1st_2nd_qtr_2016_gas_1201me_v6_16,Excluded
1st_2nd_qtr_2017_gas_1200_v3_17,Excluded
1st_2nd_qtr_2017_gas_1200_v3_17_2,Excluded
1st_2nd_qtr_2017_gas_1201me_v3_17,Excluded
1st_Quarter_2015_Motor_Fuels_Claim_for_Refund_Special_Mobile_Equipment,Excluded
1st_Quarter_2016_GAS-1278_IFTA_Fuel_Tax_Rates,Reject
1st_and_2nd_Quarter_2013_Gas-1200_Motor_Fuels_Claim_for_Refund_Nonprofit_Organizations,Excluded
1st_and_2nd_Quarter_2014_Gas-1200_Motor_Fuels_Claim_for_Refund_Nonprofit_Organizations,Excluded
