document_id,routing_label
00_CRES2011_final,Human Review
102B_Consent_Form_to_Accompany_Discrimination_Complaint_Form,Excluded
109_Advance_Determinination_of_Suitability_Rev_1_14_21,Reject
111_Staffing_Allocations_Rev_08_31_20,Excluded
12_FAST_Resource_request_form_ICS_213,Excluded
13_Activity_Log_ICS_214,Excluded
14B-17_ASLB_Emergency_Rule_Change_Public_Notice,Human Review
14B-17_ASLB_Emergency_Rule_Change_Public_Notice_2,Reject
14B-17_ASLB_Emergency_Rule_Change_Public_Notice_3,Reject
14B_NCAC_03_.0401-.0410_Search_and_Rescue_Program,Reject
14B_NCAC_05B_Section_0401,Reject
14B_NCAC_17_0202_with_Intro_08_07_20,Human Review
14_B_NCAC_03_.0501_-_Emergency_Management_-_Hazardous_Material_Regional_Response_Program,Human Review
152nd_Basic_School_Assignments_Alpha,Human Review
155th_Basic_Patrol_School.pdf,Reject
155th_and_156th_Basic_Patrol_School_Flyer,Reject
157th_Basic_School_Graduates.pdf,Auto-Approve
158th_Basic_School_Duty_Station_List,Auto-Approve
159th_Basic_School_Graduates.pdf,Auto-Approve
160th_and_161st_Basic_Patrol_School_Graduates.pdf,Auto-Approve
164th_Basic_Patrol_School.pdf,Reject
16_Video_Lists,Auto-Approve
1_-_4.14.25_-_Advisory_Council_Agenda.pdf,Auto-Approve
2000_Annual_Report_-_NCDJJDP,Reject
2000_DJJDP_Annual_Report,Reject
2001_Annual_Report-_NCDJJDP,Reject
2001_DJJDP_Annual_Report,Reject
2002-03Allocation.pdf,Human Review
2002_Annual_Report-_NCDJJDP,Reject
2002_DJJDP_Annual_Report,Reject
2003-04Allocation.pdf,Human Review
200327_FAQ_SAH_Order_FINAL,Reject
2003_Annual_Report-_NCDJJDP,Reject
2003_DJJDP_Annual_Report,Reject
2004_Annual_Report-_NCDJJDP,Reject
2004_DJJDP_Annual_Report,Reject
2005_Annual_Report-_NCDJJDP,Reject
2005_DJJDP_Annual_Report,Reject
2006_Annual_Report-_NCDJJDP,Reject
2006_DJJDP_Annual_Report,Reject
2007_Annual_Report-_NCDJJDP,Reject
2007_DJJDP_Annual_Report,Reject
2008-09Allocation.pdf,Human Review
2008_Annual_Report-_NCDJJDP,Reject
2008_DJJDP_Annual_Report,Reject
2009_Annual_Report-_NCDJJDP,Reject
2009_DJJDP_Annual_Report,Reject
2010-11Allocation.pdf,Auto-Approve
2010_Annual_Report-_NCDJJDP,Reject
2010_DJJDP_Annual_Report,Reject
2011-12Allocation.pdf,Auto-Approve
2011_Annual_Report-_NCDJJDP,Reject
2011_DJJDP_Annual_Report,Reject
2013-14_Allocation.pdf,Auto-Approve
2013_Diversion_Report_-_NCDJJDP,Reject
2014_JJ_Facilities_Strategic_Plan,Reject
2014_NCCMP_ANNUAL_RPT,Reject
2015-16Allocation.pdf,Reject
2015-2016_Sexual_Abuse_Annual_Report,Reject
2015_Annual_Report_-_DJJDP,Reject
2015_DPS_Annual_Evaluation_of_Community_Programs_Report,Reject
2015_DPS_JCPC_Special_Provisions_Report,Reject
2015_Sex_Abuse_Annual_Report,Reject
2016-17Allocation.pdf,Human Review
2016_Annual_Report_-_DJJDP,Reject
2016_NCCMP_ANNUAL_RPT,Reject
2016_North_Carolina_Emergency_Management_Year_in_Review,Excluded
2017-18Allocation.pdf,Auto-Approve
2017_Annual_Report_-_DJJDP,Reject
2017_Juvenile_Justice_Reinvestment_Act_final_summarySOG,Reject
2017_NCCMP_ANNUAL_RPT_1,Reject
2017_NC_Emergency_Management_Annual_Report,Reject
2018_AnnualReport_CenterMissingPersons,Reject
2018_Annual_Report_-_DJJDP,Reject
2018_NCEM_Annual_Report,Reject
2018_NCEM_Annual_Report_2,Reject
2018_NCEM_YearReview_web,Excluded
2018_NC_Disaster_Recovery_Framework,Reject
2018_NC_Disaster_Recovery_Framework_Final,Reject
2018_NC_Disaster_Recovery_Framework_Final_2,Reject
2019_2020_ASR_Final,Reject
2019_FAST_Training_Dates,Reject
2019_NCEM_NCORR_Annual_Report,Reject
2019_NCEM_YearReview_web,Excluded
2019_NCSHP_Awards_Recipients,Human Review
2019_NC_Disaster_Recovery_Framework_FINAL,Reject
2019_SHP_Promotions_List,Reject
2019_Sexual_Abuse_Annual_Report,Reject
2_-_EO13-EstablishingAdvisoryCouncilforStudentSafetyandWell-Being.pdf,Reject
ASLB_January_2025_Board_Meeting_Minutes_and_Reports,Reject
ASLB_March_2025_Board_Meeting_Minutes_and_Reports,Reject
ASLB_November_2024_Board_Meeting_Minutes_and_Reports,Reject
Craven_web,Excluded
HurricaneGuide_2019_FINALsinglePages,Reject
January_2026_Board_Meeting_Hot_Sheet,Reject
May_2025_Board_Meeting_Hot_Sheet,Reject
