document_id,routing_label
01-06-26-LGC-Agenda,Reject
01-06-26-Meeting-Materials,Reject
01-07-25-LGC-Minutes,Reject
01_2025_LGC_Agenda,Reject
02-04-25-LGC-Agenda,Reject
03-04-25-LGC-Agenda,Reject
03-04-25-NCCFFA-Maturities-Resolution,Reject
04-01-25-LGC-Agenda,Reject
04-30-25-Utilities-Commission-Nomination-Letter,Reject
05-09-25-Navigator-Word-Search,Reject
06._2023_Actuarial_Valuation_-_Teachers’_and_State_Employees’_Retirement_System,Reject
06._2024_Actuarial_Valuation_-_North_Carolina_State_Health_Plan,Reject
08-05-25-LGC-Agenda,Reject
09-09-25-LGC-Agenda,Reject
09._2023_Disability_Income_Plan_Combined_Report_and_Presentation,Reject
1-11-22_Local_Government_Commission_Meeting_January_Minutes,Reject
10-07-25-LGC-Agenda,Reject
10-07-25-LGC-Meeting-Materials,Reject
10-27-22_12-2021-DIPNC-Valuation-Report,Reject
10.170,Reject
10.170-2024,Reject
10.170_2019,Auto-Approve
10.170_2020,Auto-Approve
10.170_2022,Reject
10.170_2023,Reject
10.185,Auto-Approve
10.185-2024,Auto-Approve
10.185_2023,Auto-Approve
10.551-CL,Human Review
10.551-CL-2024,Human Review
10.551-CL_2019,Auto-Approve
10.551-CL_2020,Human Review
10.551-CL_2021,Auto-Approve
10.551-CL_2022,Human Review
10.551-CL_2023,Human Review
10.553-CL,Human Review
10.553-CL-2024,Human Review
10.553-CL_2019,Auto-Approve
10.553-CL_2020,Auto-Approve
10.553-CL_2021,Human Review
10.553-CL_2022,Human Review
10.553-CL_2023,Auto-Approve
10.555,Auto-Approve
10.555-2024,Auto-Approve
10.555_2019,Auto-Approve
10.555_2020,Human Review
10.555_2021,Human Review
10.555_2022,Auto-Approve
10.555_2023,Auto-Approve
10.557,Human Review
10.557-2024,Human Review
10.557_2019,Human Review
10.557_2020,Human Review
10.557_2021,Reject
10.557_2022,Reject
10.557_2023,Auto-Approve
10.558,Auto-Approve
10.558-2024,Auto-Approve
10.558_2019,Human Review
10.558_2020,Reject
10.558_2021,Auto-Approve
10.558_2022,Auto-Approve
10.558_2023,Reject
10.559,Human Review
10.559-2024,Human Review
10.559_2019,Auto-Approve
10.559_2020,Auto-Approve
10.559_2021,Human Review
10.559_2022,Human Review
10.559_2023,Auto-Approve
10.565,Auto-Approve
10.565-2024,Human Review
10.565_2019,Auto-Approve
10.565_2020,Auto-Approve
10.565_2021,Auto-Approve
10.565_2022,Auto-Approve
10.565_2023,Auto-Approve
10.568,Auto-Approve
10.568-2024,Auto-Approve
10.568-2CL,Human Review
10.568-2CL-2024,Human Review
10.568-2CL_2019,Human Review
10.568-2CL_2020,Auto-Approve
10.568-2CL_2021,Human Review
10.568-CL_2022,Reject
10.568-CL_2023,Human Review
10.691_2021,Auto-Approve
10.691_2022,Auto-Approve
10.691_2023,Auto-Approve
10.812_2023,Auto-Approve
11-04-25-LGC-Agenda,Reject
11-04-25-LGC-Meeting-Materials,Reject
"11-10-21_NC_ABLE_Board_Meeting_Minutes_-_Nov._10,_2021",Reject
11-14-23_LGC_Meeting_Minutes,Reject
11-17-21_Asset_Allocation_and_Liability_Study,Excluded
11-17-21_Investment_Grade_Fixed_Income_Review,Excluded
11-17-21_North_Carolina_Retirement_Systems_Investment_Cost_Effectiveness_Analysis,Reject
11_18_21_investment_advisory_committee_agenda,Reject
Consolidating_County_and_Municipal_Property_Tax_Functions,Reject
Finance_Fridays_Issue_03_06-06-25,Reject
