20190416-nc-911-board-minutes-approved-687248c4,No,"Multiple asterisks added to table headings that are not in PDF: pg. 1;

Nested table incorrectly intepreted: p. 1-2
",Nested table converted into parent table,Critical Issues Remain,"Ordered items start over where there's a page break in the PDF which separates them from the original list: p.  2;

Linked item from heading duplicated at top of what would be Page 2 of the PDF",
20200522-nc911-board-minutes-approved-685f9cb7,No,"Asterisks added to HTML on heading and table heading that aren't on PDF: p.1, 6; 

Data call marked up as table heading added at start of new page that doesn't belong: p.2;

Table identifies wrong row as table heading row: p. 2;
Additional table rows further down not marked as heading rows however editor didn't design correctly to identify: p.2-3;

List of phone numers marked up as separate table heading: p. 3;

Asterisks not on PDF added to HTML: p. 3, 5;

Ordered list items have additional number in text: p.3-4, 5;

Asterisks add to HTML ordered list items: p. 3-4;

Image screenshot has incorrect alt text indicating it's a logo.  Table of image content below image with asterisks adding to heading row : p. 4;

Page breaks continue between pages;




","Asterisks added to HTML on heading and table heading that aren't on PDF: p.1, 6; 

Data call marked up as table heading added at start of new page that doesn't belong: p.2;

Table identifies wrong row as table heading row: p. 2;
Additional table rows further down not marked as heading rows however editor didn't design correctly to identify: p.2-3;

List of phone numers marked up as separate table heading: p. 3;

Asterisks not on PDF added to HTML: p. 3, 5;

Ordered list items have additional number in text: p.3-4, 5;

Asterisks add to HTML ordered list items: p. 3-4;

Image screenshot has incorrect alt text indicating it's a logo.  Table of image content below image with asterisks adding to heading row : p. 4;

Page breaks continue between pages;
",Critical Issues Remain,"Table that continues over multiple pages no included with parent table. Instead marked up as inside <p>. Changes meaning of data.: p. 2;

New issue: NC DIT logo added to output.html that is not included anywhere in PDF. 

Image screenshot has incorrect alt text: p.4;","Ordered list items have additional number in text: p.3-4, 5;"
esrmo-newsletter-september-2021-686b1e03,No,"Headings order and hierarchy is incorrect. Images in wrong places. Hyperlinked content  starts from the new line each time. Page 2, hyperlinks are missing, text listed twice or highlited text is placed instead of the hyperlink . Repeted set of links and content at the bottom of the last page.",,Critical Issues Remain,"Hallucination page 1, color block remains, image dispalyed after text block, Hyperlinks promoted on separate line, repeted hyperlinh on the page is missing, page divider - solid line shown as a dot on page 2, still present on all other pages as page divider. Page 3 and after,  list of links added as it was seen yesterday. Framed content added as an image",
federalagencyhurricanecoordination-686132f8,No,"PowerPoint slides with many Esri screenshots, many slides have titles incorporated into screenshots and those titles are parced in HTML correctly, there is missing contnet starting page 4. Headings order and hierarchy is incorrect. ",,Critical Issues Remain,"Skipped H2 starting page 5, legend has H2 instead of H3, all image captions added to the page.",
fillable-form-logo-imagery-bdfc,No,Form,,Critical Issues Remain,FORM,
gdac-legislative-report-may-2016-68610a4b,No,"Page 18, missing text prior to the link. Page 19 - Pulled both a table from the image and the whole image, Alt Text is not accurate.",Alt text issues,Critical Issues Remain,"Remove table of contents in favor of H2 anchor links. Page Intentionally left blank is still present. Page 19, pulled both a table from the image and the image. Missing Alt Text. ","Page 1, Alt text is better but missing the text in the image"
gicc-2020-census-nc-factsheet-20170809-686131e8,No,Text is not in the correct order. Text pulled from images and the whole image is present. Alt text is not accurate for the 2020 Census Image,Alt text issues,Critical Issues Remain,"Page 1, text pulled from image . Alt text is not accurate for most images. Alt text from the 2020 Census image got placed in a p tag","Page 1, text and images are out of order , underlined text is not underlined "
gicc-agenda-20160810-68613387,No,Italics missing and replaces with **. Links have been removed fiorm the table and placed at the bottom of the page instead. Nested lists are not pulling over.,Markdown not interpreted as HTML.,Critical Issues Remain,Links are pulled from the table and placed at the bottom of the page,
gicc-goals-and-strategic-direction-2021-23-685fd67f,No,"Page 1, cut off part of the NCDIT logo. Page 5 -8, missing ""Goal 1"" Reference. Page 15, social media icons do not align with text.",,Critical Issues Remain,"Page 15, social medai image is pull in but text is also pulled from it and added to the bottom. Alt text is wrong","Page 5-8, several are missing the goal reference"
gicc-lgc-censussurveyresults-20200506-68839ae8,No,"Page 2,3,7,9,11,15, 16, pulling lines of text and creating an image of them. ",,Critical Issues Remain,Slides are being pulled in as both images and text,
gicc-meeting-minutes-02122003-685fb099,No,"Page 5, duplicated link at the end of page. Page 7, url not pulled from source doc.",,Critical Issues Remain,"Page 7, url not pulled from source doc.",
gicc-smac-agenda-20210120-68839aac,No,"~ (pg. 1) href is wrong on first link and second link is missing href. Correct links for both are duplicated below at the bottom of the webpage
~ (pg. 1) italics show as *text*
~(pg. 1) missing 3rd indent in list (needs additional nesting)
~(pg. 1) missing muliptle hyperlinks on text that is not shown in document as blue and underlined but still have valid links in the pdf version
~ (pg. 1) headings are slightly off but not critical severity",,Critical Issues Remain,Page 1: href is wrong on first link and second link is missing href. Correct links for both are duplicated below at the bottom of the webpage,Page 1: headings are slightly off but not critical severity
gicc-tims-may-2016-686133f1,No,"~ (pg. 1) alt text not complete
~ (pg. 1) Header not right - Title is split between H1 & H2
~ (pg. 5) alt text is wrong for both images
~ (pg. 6) alt text is wrong for first image
~ (pg. 7) alt text is wrong on image
~ (pg. 8) image depicting contections between the text are completely missing
~ (pg. 9) alt text wrong for both images
~ (pg. 10) text from image was converted into a series of tables and then the image is displayed twice below this 
~ (p. 11) text from image was converted into a series of tables and missing image
~ (p. 12) alt text wrong
~ (p. 15) alt text wrong on 1 image
~ (p. 17)  text from image was converted into a series of tables and then the image is displayed below
~(p. 19) Missing graphic completely
~ (p.22, 23) alt text wrong",,Critical Issues Remain,"Page 5: Missing alt text for both images

Page 6: Missing alt text for one of the images

All Pages: Numerous other missing or incorrect alt text

Page 19: Missing Graphic",
ifb-its-400277-2017-1102-final-686b18e9,No,N/A - Includes form,,Critical Issues Remain,N/A - Includes form,
logo-imagery-graphic-colors-map-imagery-6e2e,No,"~ (p. 2) Repeats text from image as a paragraph below
~ (p. 3) missing muliptle hyperlinks on text that is not shown in document as blue and underlined but still have valid links in the pdf version",,Critical Issues Remain,Page 3: missing muliptle hyperlinks on text that is not shown in document as blue and underlined but still have valid links in the pdf version,"NEW ISSUE: Inserts ""[Image: NCGICC (North Carolina Geographic Information Coordinating Council) logo]"", ""[Image: NC DIT (North Carolina Department of Information Technology) logo]"", etc."
nc-911-board-technology-committee-minutes-nov-4-2021-685fa41d,No,"Table headers inside paragraph above table. (Pg. 1)
Section headers for table eclosed by two asterisks. (Pg. 1)
Image copy of table copied over twice in two different sizes below converted table. (Pg. 1)
Bold text replaced by plaintext enclosed by 2 asterisks. (Pg. 2)
First row of table incorrectly converted to table header for both tables on page. (Pg. 2)
Image of entire page of document copied over in two different sizes below converted table. (Pg. 2)
List items incorrectly numbered, duplicate numbering and a reset in order. (Pg. 3)
First row of table incorrectly converted to table header. (Pg. 3)
Image of entire page of document copied over in two different sizes below converted table. (Pg. 3)
List items incorrectly numbered, duplicate numbering and a reset in order. (Pg. 4)
Image of entire page of document copied over in two different sizes below converted table. (Pg. 4)","Markdown not interpreted as HTML.
Lists not formatting correctly.",Critical Issues Remain,"Table headers outside of table. (Pg. 1)
Image copy of table copied over twice in two different sizes below converted table. (Pg. 1)
Image of entire page of document copied over in two different sizes below converted table. (Pg. 2)
No longer duplicate numbering in list, list still resets numbering if interupted. (Pg. 2)
First row of table incorrectly convnerted to table header.
Goals should be part of list item 6. (Pg. 3)
List items incorrectly numbered, duplicate numbering and a reset in order. (Pg. 4)","Watermark in plaintext at bottom of page. (Global)
"
